;;;IANA;IACC
1;Tirana Airport;Albania;TIA;LATI
2;Algovia Airport Memmingen;Alemania;FMM;EDJA
3;Berlín Brandeburgo Airport;Alemania;BER;EDDB
4;Bremen Airport;Alemania;BRE;EDDW
5;Colonia Bonn Airport;Alemania;CGN;EDDK
6;Dortmund Airport;Alemania;DTM;EDLW
7;Dresde Airport;Alemania;DRS;EDDC
8;Dusseldorf Airport;Alemania;DUS;EDDL
9;Frankfurt Airport;Alemania;FRA;EDDF
10;Frankfurt-Hahn Airport;Alemania;HHN;EDFH
11;Friedrichshafen Airport;Alemania;FDH;EDNY
12;Hamburgo Airport;Alemania;HAM;EDDH
13;Hanóver Airport;Alemania;HAJ;EDDV
14;Karlsruhe Baden-Baden Airport;Alemania;FKB;EDSB
15;Leipzig Halle Airport;Alemania;LEJ;EDDP
16;Múnich Airport;Alemania;MUC;EDDM
17;Münster Osnabrück Airport;Alemania;FMO;EDDG
18;Núremberg Airport;Alemania;NUE;EDDN
19;Paderborn Lippstadt Airport;Alemania;PAD;EDLP
20;Stuttgart Airport;Alemania;STR;EDDS
21;Weeze Airport;Alemania;NRN;EDLV
22;Ereván Zvartnots Airport;Armenia;EVN;UDYZ
23;Graz Airport;Austria;GRZ;LOWG
24;Innsbruck Airport;Austria;INN;LOWI
25;Klagenfurt Airport;Austria;KLU;LOWK
26;Linz Airport;Austria;LNZ;LOWL
27;Salzburgo Airport;Austria;SZG;LOWS
28;Viena Airport;Austria;VIE;LOWW
29;Bakú Airport;Azerbaiyán;GYD;UBBB
30;Amberes Airport;Bélgica;ANR;EBAW
31;Bruselas Airport;Bélgica;BRU;EBBR
32;Charleroi Airport;Bélgica;CRL;EBCI
33;Lieja Airport;Bélgica;LGG;EBLG
34;Ostende Brujas Airport;Bélgica;OST;EBOS
35;Minsk Airport;Bielorrusia;MSQ;UMMS
36;Sarajevo Airport;Bosnia y Herzegovina;SJJ;LQSA
37;Tuzla Airport;Bosnia y Herzegovina;TZL;LQTZ
38;Burgas Airport;Bulgaria;BOJ;LBBG
39;Sofía Airport;Bulgaria;SOF;LBSF
40;Varna Airport;Bulgaria;VAR;LBWN
41;Lárnaca Airport;Chipre;LCA;LCLK
42;Pafos Airport;Chipre;PFO;LCPH
43;Dubrovnik Airport;Croacia;DBV;LDDU
44;Pula Airport;Croacia;PUY;LDPL
45;Split Airport;Croacia;SPU;LDSP
46;Zadar Airport;Croacia;ZAD;LDZD
